1,                 The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.            
2,                 The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.            
1,                 The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.            
2,                 The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any action has been taken on the alert.            
3,                 The solution should enable the user to track the submitted defect or enhancement request.            
4,                 The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and age- wise.            
5,                 The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.            
1,                 An audit trail is a record of actions taken by either the user or the system triggers. This includes actions taken by users or Administrators, or actions initiated automatically by the system as a result of system parameters. The System must keep an unalterable audit trail capable of automatically capturing and storing information about:                                    All the actions (create/read/update/delete) that are taken upon the critical entities (case, suspect, property,...) in the system                                        The user initiating and or carrying out the action;                    The date and time of the event.                    Administrative parameters                                The word “unalterable” is to mean that the audit trail data cannot be modified in any way or deleted by any user; it may be subject to re-department and copying to removable media if required, so long as its contents remain unchanged.            
2,              Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them.            
3,             The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.            
4,              The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system.            
5,              The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System). This functionality can be used by external auditors who wish to examine or analyse system activity.            
6,              The System must be able to capture and store violations (i.e. A user’s attempts to access a case to which he is denied access), and (where violations can validly be attempted) attempted violations, of access control mechanisms.            
7,             The System must at a minimum be able to provide reports for actions on cases organised:                            By case;                By user;                In chronological sequence.                        
8,             The System should be able to provide reports for actions on cases organised by workstation and (where technically appropriate) by network address.            
1,             The System must allow the user to limit access to cases to specified users or user groups.            
2,             The system should provide for role-based control for the functionality within the system            
3,             The System must allow a user to be a member of more than one group.            
4,              The System must allow only admin-users to set up user profiles and allocate users to groups.            
5,             The System should allow a user to stipulate which other users or groups can access cases.            
6,             The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user.            
7,             If a user requests access to, or searches for, a case which he does not have the right to access, the System must provide one of the following responses (selectable at configuration time):                            display title and metadata;                display the existence of a case but not its title or other metadata;                do not display any case information or indicate its existence in any way.                        These options are presented in order of increasing security. Note that the requirement in the third option (i.e. the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security.            
8,             If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.            
9,             If the System allows users to make unauthorised attempts to access cases, it must log these in the audit trail.            
10,             Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery.            
1,             All error messages produced by the System must be meaningful, so that they can be appropriately acted upon by the users who are likely to see them. Ideally, each error message will be accompanied by explanatory text and an indication of the action(s) which the user can take in response to the error.           
2,             The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application.           
3,             The System must be able to display several entities (cases, suspects) simultaneously.           
4,            The interfaces must be made customizable or user-configurable to the extent possible. (e.g., the displayed columns in the table, move, resize, modify the appearance). Such configurations must be saved in the user profile.           
5,            The System user interface must be suitable for users with special needs; that is, compatible with specialist software that may be used and with appropriate interface guidelines           
6,            The System must provide End User and Administrator functions which are easy to use and intuitive throughout.           
7,             The System must allow persistent defaults for data entry where desirable. These defaults should include:                            user-definable values;                values same as previous item;                values derived from context, e.g. date, file reference, user identifier;                       
8,            Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g. mouse clicks).           
9,            Where the System employs a graphical user interface, it must allow users to customise it. Customisation should include, but need not be limited to the following changes:                          menu contents;               layout of screens;               use of function keys;               on-screen colours, fonts and font sizes;                      
1,             The user interfaces should be designed to make them user-intuitive.           
2,             The user interfaces of the system should comply with Standard ISO 9241.           
3,             ICT accessibility: ISO 9241-20 shall be the standard for guidance on ICT accessibility. Application user interfaces to meet its requirements and recommendations. Software accessibility ISO 9241-171 shall be the standard for guidance on software accessibility. User interfaces should meet its requirements and recommendations. Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility. The application logo to be available on all pages as a link to the home page.           
4,               Providing text equivalents for non-text media objects: All non-text media objects, such as graphical images or video, should be provided with alternative equivalent textual descriptions and/or with equivalent text-based functionality.           
5,             Making navigation self-descriptive: Navigation should be designed to help users understand where they are, where they have been and where they can go next. General guidance on achieving self-descriptiveness is given in ISO 9241-110.           
6,             Showing users where they are: Each presentation segment (page or window) should provide the user with a clear and sufficient indication of where he or she is in the navigation structure and of the current segment position with respect to the overall structure.           
7,             Offering alternative access paths: Alternative access paths for navigating to a specific unit of content should be offered to support different navigation strategies.           
8,             Minimizing navigation effort: The number of navigation steps needed to reach a certain piece of content should be minimized as long as different mental models, navigation strategies and tasks of the user are taken into account.           
9,             Splash screens should be avoided unless they provide useful content or feedback about the application state to the user. If a splash screen is used, a navigation option to skip it should be offered.           
10,             Avoiding opening unnecessary windows: Additional windows such as new browser windows or pop-up windows should only be opened if this supports the user’s task. Opening new windows can distract, confuse or impede users for a variety of reasons. They can superimpose the primary window, hiding relevant information. They could make it cognitively more difficult to understand the navigation structure with negative effects on both usability and accessibility. They also require additional user actions for closing unwanted windows.           
11,             Vertical scrolling should be minimized. This may be done by placing important information at the top and providing links to information that is further down the page. Horizontal scrolling should be avoided wherever possible.           
12,             Designing for input device independence: User interfaces should be designed to allow activation of controls by a variety of input devices. The ability to choose between different input devices for activating controls such as links, fields and buttons is important both for users who prefer a certain input mode, mobile users and users with disabilities. In general, device independence can be achieved if the functionality is operable via a keyboard.           
13,            Making user interfaces robust: User interfaces should be designed to be as robust as possible in the face of changing technology. This encompasses being able to present content containing newer technologies by older user agents as well as designing content to be usable with future technologies.           
14,            Acceptable opening / download times: Application pages should be designed and implemented so that there are acceptable opening times and download times for the expected range of technical contexts of use (e.g. bandwidth between the application and the user). This is particularly important for frequently accessed pages or pages that are important for user navigation and exploration, such as the home page.           
15,            Minimizing user errors: Potential user errors as well as the effort needed to recover from errors should be minimized.           
16,            Providing clear error messages: The content of error messages shown on the pages or special error pages should clearly state the reason why the error occurred and, if possible, actions the user can take to resolve the error. Users expect error messages to be in the same language as the user interface.           
17,            Using appropriate formats, units of measurement or currency: When designing user interfaces for use by diverse groups, input and output of information elements such as currency, units of measurement, temperatures, date and time, phone numbers, address or postal codes should be designed so that they are usable.           
18,            Making text resizable by the user: Text should be able to be resized by the user, using functions provided by the user agent or other appropriate means i.e. see ISO 9241-171.           
19,            Text quality: The quality of textual content with respect to spelling and grammar should be sufficient so as not to impede readability.           
20,            Writing style: The reading and understanding of the textual content on the screen should be supported by suitable means, including the use of short sentences, the division of the text into shorter chunks or the presentation of content items in the form of bullet points.           
21,            Supporting text skimming: Fast skimming of text should be supported by the provision of clear links, bulleted lists, highlighted keywords, logical headings, and short phrases and sentences.           
22,            Readability of text: Text presented on the pages should be readable taking into account the expected display characteristics and spatial arrangement. ISO 9241-303 shall be consulted for screen text legibility requirements.           
23,            Distinguishable within-page links: Within-page links should be clearly distinguishable from other links that lead to a different page. EX. Within-page links are shown with dashed rather than solid underlines           
24,            Avoiding link overload: Text pages containing large proportions of links should be formatted so that the presence of links does not impede the readability of the text.           
25,            Using familiar terminology for navigation links: Navigation links — particularly links representing the main navigation structure — should be labelled with terms that are familiar to the user, based on his/her general knowledge, prior experience in the application domain or experience of using other systems.           
26,            Using descriptive link labels: The target or purpose of a link should be directly indicated by its label, avoiding generic labels such as “go” or “click here” except where the purpose of the link is clear from its context on the page or the labels have commonly understood semantics in the particular application domain. Using appropriate terminology specific to the user’s tasks and information needs is important for making the content easy to understand.           
27,            Marking links opening new windows: Links that open new browser windows or pop-up windows should be clearly marked.           
